ID,adsorption_energy,log2(AE)
1,209.41,7.710186527
2,44.31,5.469560422
3,184.39,7.526616606
4,210.99,7.721030813
5,141.27,7.142311318
6,111.19,6.796883233
7,191.13,7.578410433
8,125.13,6.967283908
9,116.26,6.861211003
10,54.9,5.778734244
11,109.23,6.771225336
12,181.77,7.505970301
13,156.01,7.285494696
14,200.63,7.648393537
15,54.48,5.767654798
16,135.18,7.078737909
17,173.76,7.440952198
18,41.87,5.387845013
19,45.59,5.510645504
20,68.1,6.089582893
21,166.23,7.377036963
22,53.55,5.74281467
23,115.66,6.853746197
24,174,7.442943496
25,47.51,5.570159302
26,90.77,6.504143652
27,45.02,5.492494152
28,199.07,7.637132012
29,242.19,7.919995487
30,180.02,7.492013387
31,61.01,5.930973826
32,141.34,7.143026004
33,131.81,7.042316017
34,162.1,7.340740281
35,78.17,6.288543133
36,61.88,5.951401292
37,168.08,7.393004257
38,183.59,7.520343668
39,103.9,6.699051844
40,211.88,7.727103604
41,59.28,5.889473543
42,117.75,6.87958325
43,129.63,7.018255827
44,127.65,6.996049728
45,154.38,7.270342053
46,143.9,7.168922782
47,141,7.139551352
48,101.52,6.665620164
49,49.43,5.627315001
50,108.23,6.757956641
51,280.26,8.130622041
52,144.05,7.17042585
53,219.25,7.776433032
54,153.66,7.263597849
55,134.61,7.07264178
56,151.78,7.24583789
57,177.79,7.47403037
58,52.01,5.700717133
59,47.57,5.57198012
60,46.79,5.548128324
61,141.01,7.139653668
62,52.87,5.724377422
63,189.86,7.568792178
64,101.29,6.662347939
65,117.48,6.876271361
66,163.96,7.357200085
67,197.79,7.627825677
68,118.92,6.893847558
69,148.85,7.217715411
70,146.04,7.190219764
71,58.28,5.864928972
72,155.9,7.284477118
73,224.08,7.807870078
74,104.39,6.705839706
75,236.62,7.886428211
76,153.98,7.266599166
77,195.29,7.609474266
78,54.15,5.758889433
79,164.43,7.36132973
80,48.03,5.585863903
81,136.7,7.094869433
82,159.21,7.314787144
83,165.7,7.372429792
84,137.44,7.102658131
85,94.54,6.56285296
86,168.46,7.396262261
87,91.19,6.51080372
88,46.73,5.546277132
89,68.42,6.096346199
90,84.39,6.399000148
91,62.06,5.955591792
92,157.67,7.300764373
93,151.82,7.246218046
94,146.89,7.198592373
95,187.48,7.55059289
96,147.17,7.201339804
97,53.17,5.732540561
98,320.83,8.325665241
99,47.6,5.572889668
100,127.21,6.991068275
101,152.68,7.254367281
102,91.21,6.511120101
103,175.44,7.454833907
104,111.61,6.802322485
105,160.62,7.327507735
106,93.76,6.550900665
107,134.36,7.06995989
108,46.73,5.546277132
109,144,7.169925001
110,53.4,5.738767837
111,152.31,7.250866856
112,170.42,7.412950846
113,45.48,5.507160349
114,183.95,7.523169866
115,196.62,7.619266268
116,50.87,5.668743189
117,105.59,6.722329399
118,244.07,7.931151166
119,146.85,7.198199455
120,146.94,7.19908337
121,127.47,6.994013939
122,145.01,7.180008583
123,151.23,7.24060055
124,267.71,8.06452722
125,49.19,5.62029315
126,161.5,7.335390355
127,118.89,6.893483563
128,98.02,6.615004242
129,130.88,7.032100843
130,174.51,7.4471659
131,49.52,5.629939409
132,207.68,7.698218478
133,159.51,7.317503062
134,61.96,5.953265239
135,121.11,6.920174182
136,88.97,6.475247047
137,105.61,6.722602637
138,52.13,5.704041955
139,58.98,5.882153917
140,101.59,6.666614587
141,97.05,6.600656308
142,174.55,7.447496547
143,60.13,5.910013053
144,89.19,6.478810059
145,156.93,7.293977366
146,212.1,7.728600811
147,168.04,7.392660881
148,252.11,7.977909534
149,213.45,7.737754352
150,86.93,6.44178224
151,167.92,7.391630262
152,164.52,7.362119167
153,111.07,6.795325387
154,236.06,7.88300979
155,309.49,8.273748985
156,155.44,7.280213996
157,222.9,7.800252806
158,53.87,5.75141016
159,56.13,5.810700154
160,117.34,6.874551087
161,60.4,5.916476644
162,101.75,6.668884984
163,357.57,8.48208189
164,139.27,7.121740712
165,183,7.515699838
166,122.66,6.938521046
167,58.41,5.86814348
168,98.85,6.627169061
169,171.54,7.422401216
170,223.03,7.801093971
171,41.66,5.380590934
172,86.43,6.433460256
173,162.29,7.342430296
174,186.3,7.541483864
175,199.84,7.642701572
176,129.23,7.013797212
177,149.64,7.225352061
178,120.7,6.915281866
179,178.92,7.483170853
180,86.23,6.430117975
181,64.96,6.021479727
182,135.23,7.079271431
183,113.5,6.826548487
184,129.01,7.011339088
185,245.17,7.937638646
186,169.73,7.407097775
187,56.44,5.818646083
188,168.11,7.393261735
189,138.49,7.113637997
190,230.23,7.846932025
191,66.57,6.056800263
192,42.69,5.415826257
193,137.6,7.10433666
194,48.43,5.597829098
195,192.55,7.589089313
196,67.39,6.074462621
197,45.99,5.523248293
198,146.83,7.198002957
199,164.83,7.364835035
200,189.78,7.568184151
201,138.52,7.113950482
202,96.42,6.591260525
203,149.29,7.221973721
204,53.79,5.749266084
205,151.88,7.246788094
206,213.53,7.738294966
207,41.75,5.383704292
208,127.08,6.989593185
209,47.95,5.58345891
210,175.9,7.458611673
211,174.43,7.446504379
212,134.41,7.070496667
213,85,6.409390936
214,77.76,6.280956314
215,129.07,7.012009901
216,138.51,7.113846328
217,191.35,7.580070091
218,159.94,7.321386983
219,80.95,6.338959175
220,91.56,6.516645558
221,137.46,7.102868054
222,51.4,5.683696454
223,126.3,6.980710829
224,57.41,5.84323015
225,98.01,6.61485705
226,158.88,7.311793718
227,169.57,7.405737143
228,124.84,6.963936452
229,106.82,6.739037979
230,91.34,6.513174885
231,154.43,7.270809232
232,222.65,7.798633802
233,157.5,7.299208018
234,164.6,7.362820526
235,123.68,6.950468414
236,182.74,7.51364865
237,120.04,6.907371414
238,44.98,5.491211756
239,156.83,7.293057749
240,204.99,7.679409722
241,214.07,7.741938819
242,126.27,6.980368105
243,163,7.348728154
244,179.36,7.486714373
245,253.39,7.98521578
246,220.83,7.786792367
247,125.71,6.973955608
248,52.33,5.709566354
249,47.75,5.577428828
250,58.97,5.881909289
251,202.34,7.66063774
252,77.42,6.274634403
253,105.09,6.715481584
254,60.09,5.909053017
255,171.73,7.42399828
256,383.77,8.584098128
257,39.39,5.299757512
258,159.62,7.318497619
259,55.97,5.806581843
260,136.95,7.097505456
261,163.45,7.352705567
262,142.35,7.153298683
263,65.01,6.022589749
264,109.15,6.77016832
265,55.89,5.80451827
266,146.13,7.191108579
267,315.15,8.299894853
268,158.01,7.303872055
269,54.85,5.777419716
270,147.07,7.200359179
271,124.42,6.959074601
272,109.95,6.780703794
273,155.01,7.276217479
274,121.83,6.928725623
275,127.31,6.992201935
276,106.62,6.736334277
277,118.66,6.890689878
278,193.31,7.59477246
279,127.55,6.994919089
280,104.3,6.704595348
281,41.12,5.361768359
282,197.46,7.625416622
283,106.43,6.733761058
284,156.8,7.292781749
285,59.53,5.895544989
286,56.03,5.808127587
287,122.72,6.939226578
288,126.08,6.97819563
289,172.5,7.430452552
290,67.87,6.084702108
291,62.34,5.96208625
292,60.18,5.911212202
293,131.28,7.036503334
294,590.24,9.205157884
295,171.7,7.423746229
296,145.21,7.181996999
297,98.3,6.619119511
298,159.55,7.317864798
299,103.79,6.697523639
300,55.22,5.787118983
301,80.96,6.339137385
302,45.71,5.514437914
303,58.7,5.875288598
304,162.22,7.341807889
305,223.84,7.806324057
306,55.6,5.797012978
307,151.86,7.246598103
308,51.07,5.674404154
309,116.38,6.862699341
310,144.83,7.178216662
311,187.64,7.551823596
312,148.37,7.213055602
313,47.16,5.559491813
314,148.49,7.214221966
315,144.66,7.176522247
316,117.41,6.87541148
317,82.13,6.359837393
318,104.82,6.711770204
319,129.52,7.017031081
320,108.56,6.762348816
321,141.15,7.141085319
322,192.33,7.587440004
323,47.21,5.561020578
324,132.34,7.048105374
325,109.13,6.769903945
326,165.02,7.366497076
327,147.03,7.199966742
328,240.1,7.907491593
