ID,split
1,val
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,val
10,train
11,train
12,train
13,train
14,train
15,test
16,train
17,train
18,val
19,train
20,val
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,test
33,train
34,val
35,train
36,test
37,train
38,train
39,train
40,val
41,train
42,test
43,train
44,test
45,train
46,train
47,train
48,test
49,train
50,train
51,test
52,train
53,train
54,train
55,train
56,train
57,train
58,train
59,train
60,test
61,train
62,test
63,train
64,val
65,train
66,train
67,train
68,train
69,test
70,train
71,test
72,train
73,train
74,test
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,test
85,train
86,test
87,train
88,train
89,train
90,train
91,train
92,train
93,val
94,train
95,train
96,test
97,train
98,train
99,train
100,val
101,train
102,test
103,val
104,test
105,train
106,train
107,train
108,test
109,train
110,train
111,train
112,train
113,train
114,test
115,test
116,train
117,train
118,train
119,train
120,test
121,train
122,train
123,train
124,train
125,train
126,train
127,train
128,test
129,train
130,train
131,train
132,train
133,train
134,train
135,val
136,val
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,train
146,train
147,train
148,train
149,train
150,val
151,test
152,train
153,train
154,train
155,train
156,train
157,train
158,test
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,test
171,train
172,train
173,train
174,val
175,train
176,train
177,train
178,val
179,train
180,train
181,val
182,val
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,test
202,train
203,train
204,train
205,train
206,train
207,train
208,train
209,train
210,train
211,val
212,train
213,train
214,train
215,test
216,train
217,test
218,test
219,val
220,train
221,train
222,val
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,train
231,val
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,val
247,train
248,test
249,val
250,train
251,train
252,val
253,train
254,train
255,train
256,train
257,train
258,train
259,train
260,test
261,train
262,train
263,train
264,test
265,train
266,val
267,train
268,train
269,train
270,train
271,train
272,train
273,train
274,train
275,train
276,val
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,train
286,train
287,train
288,train
289,train
290,train
291,test
292,val
293,train
294,test
295,train
296,train
297,train
298,train
299,train
300,test
301,train
302,train
303,train
304,test
305,test
306,train
307,train
308,train
309,train
310,train
311,train
312,test
313,train
314,train
315,train
316,train
317,train
318,train
319,val
320,train
321,train
322,val
323,train
324,train
325,train
326,train
327,train
328,val
329,train
330,train
331,test
332,train
333,train
334,val
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,test
348,train
349,train
350,train
351,train
352,train
353,train
354,test
355,train
356,train
357,train
358,val
359,train
360,train
361,val
362,train
363,train
364,train
365,train
366,train
367,train
368,val
369,train
370,train
371,train
372,train
373,train
374,val
375,train
376,train
377,val
378,train
379,train
380,test
381,train
382,train
383,train
384,train
385,train
386,test
387,train
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,train
396,train
397,val
398,train
399,test
400,val
401,train
402,train
403,train
404,train
405,train
406,train
407,train
408,train
409,test
410,train
411,test
412,train
413,train
414,train
415,test
416,train
417,train
418,train
419,train
420,train
421,test
422,train
423,train
424,train
425,val
426,train
427,test
428,val
429,val
430,test
431,train
432,train
433,train
434,train
435,val
436,train
437,train
438,train
439,test
440,train
441,train
442,train
443,train
444,train
445,train
446,train
447,train
448,test
449,train
450,train
451,val
452,train
453,train
454,train
455,train
456,test
457,train
458,test
459,train
460,train
461,train
462,val
463,train
464,train
465,train
466,val
467,train
468,train
469,val
470,train
471,train
472,train
473,train
474,test
475,test
476,train
477,test
478,train
479,train
480,train
481,train
482,train
483,train
484,test
485,test
486,train
487,train
488,val
489,train
490,train
491,train
492,train
